feature,importance,signed_value
num__method_pred_entropy,0.3662259422213379,-0.3662259422213379
num__positive_weighted_rag_prompt_tokens,0.277833458931199,-0.277833458931199
num__method_known_pred_count,0.2601956690868551,0.2601956690868551
num__positive_weighted_rag_message_chars,0.23288242644652268,-0.23288242644652268
num__yes_only_pred,0.22255283114369356,0.22255283114369356
num__old_rag_prompt_tokens,0.1982471161664957,0.1982471161664957
num__positive_weighted_rag_pred,0.18682390936089593,-0.18682390936089593
cat__retrieval_top1_evidence_role_vulnerable_context,0.18496021966148948,0.18496021966148948
num__no_only_pred,0.16368405312218764,-0.16368405312218764
num__balanced_grouped_no_label_bc_message_chars,0.14831876707425712,0.14831876707425712
num__retrieval_top_neg_score_max,0.1420462828072693,-0.1420462828072693
num__zero_shot_pred,0.1407295123810881,0.1407295123810881
num__retrieval_negative_evidence_count,0.14019372842891564,-0.14019372842891564
num__retrieval_num_selected_query_chunks,0.1401937284289145,-0.1401937284289145
num__method_disagree,0.13664876254954217,0.13664876254954217
num__old_rag_pred,0.10999156706841531,-0.10999156706841531
cat__retrieval_top1_evidence_role_vulnerable_changed,0.1055500336399142,-0.1055500336399142
cat__retrieval_top1_evidence_role_safe_background,0.10032620979697095,-0.10032620979697095
num__line_count,0.09939728426597147,0.09939728426597147
num__icl_pred,0.09138330900264036,0.09138330900264036
num__old_rag_message_chars,0.08451088798803363,0.08451088798803363
num__retrieval_top1_evidence_polarity,0.08232419845094922,0.08232419845094922
num__balanced_grouped_no_label_bc_pred,0.08036302179857711,0.08036302179857711
num__retrieval_pos_neg_margin_max,0.07607835757711152,0.07607835757711152
cat__retrieval_top1_evidence_role_fixed_changed,0.07516779895609746,0.07516779895609746
num__icl_message_chars,0.07429541031994445,-0.07429541031994445
num__retrieval_mean_match_score,0.06771472170056667,-0.06771472170056667
num__retrieval_same_project_match_count,0.06527049038618747,0.06527049038618747
num__call_count,0.06487213100608875,-0.06487213100608875
num__retrieval_top1_score,0.06405047669285033,0.06405047669285033
num__retrieval_score_gap_top1_top2,0.061903427156968026,0.061903427156968026
num__preproc_count,0.05880490302192999,0.05880490302192999
num__retrieval_top2_score,0.05655282335388867,0.05655282335388867
num__loop_count,0.05474961983945745,-0.05474961983945745
num__token_len_approx,0.051600318256320665,0.051600318256320665
num__ptr_count,0.05091295056558917,0.05091295056558917
num__retrieval_pos_neg_margin_mean,0.046316526620850215,-0.046316526620850215
num__error_handling_keyword_count,0.03877226204032458,-0.03877226204032458
num__retrieval_top_pos_score_max,0.037528723524499825,-0.037528723524499825
num__unique_call_count,0.03654313853847639,-0.03654313853847639
num__balanced_grouped_no_label_bc_prompt_tokens,0.03558897472600343,0.03558897472600343
num__bounds_keyword_count,0.02958524530377405,0.02958524530377405
num__retrieval_num_index_matches,0.025014876095449928,-0.025014876095449928
num__null_keyword_count,0.0237507375441177,0.0237507375441177
num__memory_api_count,0.022995745930718074,-0.022995745930718074
num__retrieval_role_count_fixed_changed,0.021831875318714437,-0.021831875318714437
num__lifecycle_keyword_count,0.020006187935681305,-0.020006187935681305
num__cond_count,0.01276538869295051,-0.01276538869295051
cat__retrieval_top1_evidence_role_missing,0.012364787705623687,-0.012364787705623687
num__method_yes_count,0.012183427193975034,0.012183427193975034
num__macro_count,0.010145539283523497,0.010145539283523497
num__retrieval_role_count_safe_background,0.009513862966639166,-0.009513862966639166
num__author_no_yes_pred,0.009148417791951649,-0.009148417791951649
num__string_api_count,0.008943344419089278,0.008943344419089278
num__method_yes_rate,0.0027967231694811527,0.0027967231694811527
num__method_no_count,0.0027967231694808604,-0.0027967231694808604
num__retrieval_unknown_evidence_count,0.002485487994807606,0.002485487994807606
num__retrieval_role_count_vulnerable_context,0.002485487994807606,0.002485487994807606
num__retrieval_positive_evidence_count,0.001817683044156256,-0.001817683044156256
num__retrieval_role_count_vulnerable_changed,0.001817683044156256,-0.001817683044156256
num__author_no_yes_message_chars,0.0010911291501435028,-0.0010911291501435028
num__yes_only_message_chars,0.0010911291501435028,-0.0010911291501435028
num__zero_shot_message_chars,0.0010911291501435028,-0.0010911291501435028
num__no_only_message_chars,0.0010911291501435028,-0.0010911291501435028
num__char_len,0.0010911291501435028,-0.0010911291501435028
num__retrieval_same_cwe_match_count,0.0,0.0
num__retrieval_role_count_unknown,0.0,0.0
